21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,12/13,11/12,10/11,09/10,08/09,07/08,06/07,05/06,04/05,03/04,02/03,01/02,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
77,78,82,78,84,82,88,79,90,91,81,75,70,69,76,70,75,77,74,75,70,63,73,78,68,71,68,49,44,48,52,48,49,50,52,53,49,50,48,52,48
69,65,69,76,63,67,78,69,71,66,73,68,65,67,66,68,70,63,68,59,69,62,73,63,66,69,62,48,43,47,52,45,43,45,48,47,49,46,48,52,45
64,64,66,66,55,64,60,66,64,65,64,65,61,64,64,66,68,59,65,58,68,58,59,62,55,63,56,46,39,42,50,42,41,44,48,43,45,40,48,48,43
58,61,65,58,55,62,55,61,61,55,60,60,59,63,54,60,61,58,64,56,61,57,53,57,52,61,53,46,39,41,44,40,41,43,40,40,42,39,47,44,42
57,60,63,55,55,49,52,49,60,51,54,58,57,61,54,51,52,58,56,54,61,56,50,57,52,53,50,43,38,40,44,40,39,39,37,40,41,37,45,43,42
55,52,52,55,53,49,50,48,55,51,53,47,55,59,52,48,48,57,55,52,56,55,50,55,51,49,49,43,38,39,43,38,36,38,37,39,40,37,38,41,41
52,50,49,54,51,48,50,46,53,48,48,46,52,55,51,45,46,55,50,49,56,53,49,50,50,49,48,36,37,36,43,37,34,37,33,37,39,36,34,39,40
46,49,48,53,49,45,45,44,52,47,44,45,50,50,49,45,44,51,49,46,50,50,48,49,44,48,45,36,36,35,41,35,33,34,32,35,33,34,33,31,37
46,45,45,51,47,45,43,43,44,45,42,44,47,49,46,44,43,48,44,45,50,47,47,41,44,45,44,33,36,35,38,35,32,33,31,35,32,34,32,30,35
45,45,41,44,43,43,41,43,42,44,42,44,46,45,44,44,42,45,42,45,46,46,44,41,43,44,43,32,35,34,36,34,32,32,31,35,30,33,31,29,32
42,43,41,43,42,42,40,40,41,43,41,43,42,40,43,44,38,43,39,43,40,44,40,39,43,43,42,31,34,31,34,33,31,32,31,32,30,33,31,29,32
42,39,39,43,41,41,38,40,39,43,40,42,39,39,41,42,38,42,39,42,39,43,40,39,41,43,40,30,34,28,34,32,31,31,30,32,29,32,30,28,30
42,36,37,36,39,38,38,37,36,42,39,41,38,33,40,41,37,40,38,41,35,41,39,38,41,41,40,29,30,28,34,31,31,31,29,32,29,31,30,28,28
38,35,36,33,36,38,38,36,36,34,38,40,35,32,36,40,36,38,37,40,34,39,41,38,39,40,38,27,29,28,34,29,30,26,29,28,29,30,29,28,27
33,35,36,32,36,37,37,35,32,33,36,38,33,31,34,37,34,36,39,40,34,38,38,37,38,40,38,25,28,27,33,29,30,26,29,25,28,29,28,27,25
33,33,31,28,33,37,36,35,27,31,31,36,31,30,31,34,33,35,32,36,30,35,35,37,38,33,36,22,28,26,32,27,29,26,28,21,28,29,27,22,25
28,31,30,21,31,32,33,34,26,30,30,34,28,29,30,34,30,30,32,30,29,35,30,29,36,29,32,20,23,24,31,23,26,26,24,20,21,22,19,21,21
18,16,20,19,22,25,25,31,25,21,23,29,24,28,29,26,27,18,23,30,22,27,22,21,32,27,26,16,17,23,31,14,24,19,23,18,18,20,14,20,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
