21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,12/13,11/12,10/11,09/10,08/09,07/08,06/07,05/06,04/05,03/04,02/03,01/02,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82,,,
93,86,99,98,100,93,81,87,86,89,89,80,86,90,87,89,91,95,90,83,87,80,91,79,78,75,82,89,92,84,82,83,79,76,90,86,88,90,80,82,87,,,
92,74,81,97,81,86,71,79,84,78,89,71,85,86,85,83,83,83,79,78,80,70,73,78,77,68,78,88,84,74,78,76,70,76,81,77,86,77,77,71,83,,,
74,69,66,72,77,78,70,75,82,75,70,71,75,83,83,68,82,77,75,69,77,69,69,75,65,68,71,77,77,72,75,69,63,64,73,71,84,77,74,70,78,,,
71,67,66,71,75,76,66,70,79,73,69,68,70,72,76,68,67,61,60,67,71,68,67,67,63,68,63,74,71,71,72,64,62,62,70,70,76,76,74,69,71,,,
69,66,62,70,70,75,66,64,72,72,65,62,67,63,65,60,65,58,56,64,66,66,65,57,59,61,63,73,70,63,70,62,60,58,67,68,73,68,73,69,71,,,
58,65,59,66,63,69,63,62,69,63,64,58,64,62,60,58,63,58,56,60,64,61,58,55,58,59,61,72,65,59,64,59,59,57,66,66,71,66,63,68,69,,,
56,62,59,57,54,61,62,60,64,61,56,54,63,53,58,56,58,55,53,59,53,57,58,54,57,57,61,62,64,59,60,56,55,55,57,66,69,66,62,64,66,,,
52,61,56,54,49,46,60,56,56,49,52,49,61,51,57,55,56,52,53,52,50,54,55,52,56,56,61,60,60,59,59,54,55,54,56,65,68,65,61,64,64,,,
51,59,54,52,47,46,51,54,50,46,52,48,50,51,55,54,55,52,52,51,50,52,55,51,55,47,58,56,60,57,57,51,54,53,53,63,66,64,60,58,58,,,
51,59,54,52,44,45,50,48,49,46,47,47,50,50,49,52,51,47,50,50,46,52,53,49,53,46,51,54,57,56,57,49,53,53,53,63,65,56,60,58,58,,,
49,55,52,50,44,45,47,47,45,44,47,47,47,45,46,50,50,46,48,49,45,51,52,47,52,46,50,54,56,56,54,49,50,51,53,56,63,55,57,57,57,,,
48,45,49,49,44,44,47,47,42,43,47,46,46,45,43,46,48,45,47,49,45,49,52,46,48,46,43,51,53,54,53,46,49,51,50,52,59,55,53,57,57,,,
46,45,44,45,42,44,45,44,40,42,45,46,44,41,42,43,47,44,45,48,44,48,50,46,44,42,43,51,52,53,53,46,48,45,47,52,52,54,52,57,52,,,
45,44,43,45,41,41,43,41,38,41,45,46,39,41,40,42,45,44,45,48,44,42,44,43,44,42,41,50,51,52,53,45,48,42,45,52,46,52,51,54,50,,,
40,43,41,40,40,41,42,39,38,41,43,43,38,41,39,41,43,42,44,47,43,42,44,42,44,42,40,50,45,52,52,45,48,42,43,52,45,51,51,52,47,,,
39,41,39,39,37,40,42,38,37,41,38,42,36,36,37,39,42,39,41,45,40,42,38,42,44,41,38,50,45,52,52,44,46,41,42,50,44,51,51,50,44,,,
