21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,Dec-13,11-Dec,10-Nov,09-Oct,08-Sep,07-Aug,06-Jul,05-Jun,04-May,03-Apr,02-Mar,01-Feb,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
86,91,83,90,95,91,91,87,102,87,84,82,82,84,85,97,76,86,82,72,71,75,72,70,74,65,73,73,50,50,56,51,51,58,45,42,45,43,43,43,46
84,79,82,79,91,87,82,70,85,78,80,76,80,74,82,75,69,79,71,65,70,73,71,69,69,63,65,63,47,46,48,46,49,47,42,39,41,39,41,39,45
79,78,78,69,77,86,80,69,78,72,64,70,70,74,72,62,58,72,69,61,69,69,61,56,64,59,59,63,44,41,43,46,44,46,38,38,39,38,36,38,38
70,78,78,69,72,72,67,64,65,70,62,66,67,68,66,61,54,62,59,60,55,56,58,55,59,55,59,60,44,39,42,40,44,43,37,36,33,37,35,35,35
64,77,70,68,72,70,64,63,60,66,61,66,65,68,64,58,52,61,58,56,54,51,58,54,57,54,58,59,41,38,40,38,43,39,32,35,33,36,33,34,35
63,68,66,66,64,63,61,59,58,62,58,63,59,63,60,58,49,53,56,56,53,49,54,54,57,53,58,52,36,37,38,38,41,36,31,35,32,36,32,32,32
62,62,62,63,60,62,57,56,57,61,56,58,55,58,57,54,45,48,50,55,52,44,51,54,56,49,54,51,35,36,38,37,35,34,31,33,31,34,32,31,28
59,62,51,59,57,60,54,55,57,56,56,56,52,57,50,50,45,45,46,49,46,44,50,46,48,47,52,50,34,36,37,37,34,34,28,30,29,33,32,30,27
53,52,49,53,54,53,50,54,56,54,51,51,51,53,48,49,44,45,44,42,45,43,43,44,48,45,49,49,33,35,35,36,31,31,26,26,29,29,31,28,27
50,45,49,44,54,48,46,52,54,49,49,51,50,50,48,46,43,44,41,42,44,43,42,42,44,44,41,47,32,33,34,35,31,29,25,26,28,28,29,28,27
50,42,49,43,43,47,46,49,50,47,48,46,47,47,47,43,43,44,40,41,43,42,40,42,38,43,41,45,32,32,34,35,29,29,25,26,27,25,26,27,26
47,41,47,43,41,46,45,49,45,45,52,46,46,46,46,42,41,44,39,38,42,38,40,41,37,41,41,44,32,32,32,31,28,29,24,24,27,25,26,27,25
46,40,45,42,40,45,45,46,44,44,46,46,45,46,44,41,41,44,34,38,40,37,40,41,37,41,39,41,31,31,29,29,28,29,24,23,25,25,25,27,25
41,40,45,41,40,43,42,43,44,43,44,45,44,44,42,41,39,43,34,38,40,37,39,39,36,37,37,40,31,30,29,29,28,29,24,22,23,22,25,26,24
36,39,42,41,39,41,40,42,39,42,43,43,44,43,40,41,39,43,32,38,39,37,36,38,35,37,32,40,30,30,22,25,27,27,23,21,22,15,22,22,23
36,37,40,41,39,36,39,41,36,40,43,45,44,38,40,40,32,42,30,30,28,36,26,37,32,37,29,34,28,30,21,22,25,27,20,15,16,15,12,13,17
31,37,39,38,38,34,39,37,34,38,42,41,42,37,37,40,31,42,30,24,22,36,22,33,26,27,27,18,21,19,20,19,23,23,,,,,,,
30,33,35,38,35,32,38,34,32,32,36,36,35,34,36,39,29,42,13,21,18,20,21,20,14,19,24,12,11,17,14,18,21,22,,,,,,,
28,23,25,25,25,26,31,24,29,36,32,32,31,31,34,27,21,41,,,,,,,,,,,,,,,,,,,,,,,
27,20,20,20,21,18,28,26,25,22,22,24,29,30,30,26,,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,1044,1055,1032,1057,1060,1045,1020,1050,1044,1029,1043,1038,1045,1028,1026,1002,1015,828,826,831,830,824,835,831,816,838,841,612,612,612,612,612,612,475,471,480,480,480,480,480
